          RA           DEC             R062             Z087 
 00:53:28.60  +39:51:25.66       28.7166981       29.6749136 
 00:53:19.55  +39:50:55.72       28.0235307       28.8839212 
 00:53:32.34  +39:51:37.94       28.8264416       30.1542181 
 00:53:33.20  +39:51:40.73       28.2127916       29.2905709 
 00:53:17.08  +39:50:47.39       29.4379047       30.7765506 
 00:53:23.73  +39:51:09.41       28.6454764       29.6689085 
 00:53:32.29  +39:51:37.65       28.5757177       29.6752359 
 00:53:29.07  +39:51:26.94       28.7886438       29.9099009 
 00:53:24.64  +39:51:12.28       28.4549786       29.7718856 
 00:53:24.37  +39:51:11.29       28.3320525       29.6272206 
 00:53:32.69  +39:51:38.74       28.2462155       29.0522588 
 00:53:30.10  +39:51:30.18       27.5396090       28.9652105 
 00:53:17.64  +39:50:48.84       30.3708459       31.2855836 
 00:53:26.09  +39:51:16.82       29.3218263       30.0952613 
 00:53:26.49  +39:51:18.05       27.6337720       28.5702486 
 00:53:32.87  +39:51:39.10       28.4023090       29.3279161 
 00:53:32.83  +39:51:38.95       29.2459893       29.5302994 
 00:53:33.22  +39:51:40.21       28.6930329       29.8468983 
 00:53:19.15  +39:50:53.67       28.5471807       29.6575684 
 00:53:21.65  +39:51:01.88       28.5784025       29.6235735 
 00:53:21.09  +39:50:59.92       29.4249937       30.2962537 
 00:53:26.51  +39:51:17.80       29.6696393       30.2039466 
 00:53:22.29  +39:51:03.83       28.1501068       29.2822333 
 00:53:32.30  +39:51:36.83       28.8066829       30.2105455 
 00:53:33.14  +39:51:39.60       24.5484176       25.1479415 
 00:53:27.02  +39:51:19.20       28.3710872       29.3619110 
 00:53:16.77  +39:50:45.19       28.3315699       29.4745658 
 00:53:19.22  +39:50:53.24       28.8710721       30.3075430 
 00:53:31.95  +39:51:35.31       28.8330177       30.4325302 
 00:53:33.04  +39:51:38.92       28.8464568       29.7285862 
 00:53:21.82  +39:51:01.73       28.7683873       30.2592054 
 00:53:31.15  +39:51:32.54       28.3584025       29.4035735 
 00:53:30.12  +39:51:29.10       28.9286438       30.0499009 
 00:53:26.97  +39:51:18.65       28.1642395       29.6985353 
 00:53:25.19  +39:51:12.70       27.4623696       26.6053884 
 00:53:30.63  +39:51:30.72       27.9288851       29.1262283 
 00:53:29.52  +39:51:26.95       28.9969243       30.4768729 
 00:53:22.45  +39:51:03.51       29.6515699       30.7945658 
 00:53:29.55  +39:51:26.97       28.5164568       29.3985862 
 00:53:19.86  +39:50:54.91       27.0913134       28.6038704 
 00:53:17.16  +39:50:45.95       28.5476634       29.8102232 
 00:53:21.32  +39:50:59.64       27.5537720       28.4902486 
 00:53:23.04  +39:51:05.29       29.2657328       29.9196040 
 00:53:29.51  +39:51:26.64       28.0557177       29.1552359 
 00:53:18.62  +39:50:50.62       28.8327916       29.9105709 
 00:53:21.42  +39:50:59.88       28.8159590       29.9915633 
 00:53:26.61  +39:51:17.06       28.7391264       30.0125557 
 00:53:26.35  +39:51:16.11       28.1332742       29.3632257 
 00:53:26.42  +39:51:16.33       29.1193829       30.0232511 
 00:53:28.66  +39:51:23.70       29.2096242       30.1895785 
 00:53:32.67  +39:51:36.96       27.5257177       28.6252359 
 00:53:33.48  +39:51:39.62       28.3910872       29.3819110 
 00:53:30.44  +39:51:29.57       27.4566829       28.8605455 
 00:53:22.25  +39:51:02.43       29.5808459       30.4955836 
 00:53:25.19  +39:51:12.00       28.6747524       29.4699263 
 00:53:26.25  +39:51:15.53       28.8454764       29.8689085 
 00:53:29.38  +39:51:25.83       28.4279198       29.3209187 
 00:53:22.44  +39:51:02.79       27.8847373       29.1255582 
 00:53:25.78  +39:51:13.80       29.3849937       30.2562537 
 00:53:17.61  +39:50:46.71       28.9432742       30.1732257 
 00:53:21.69  +39:51:00.21       24.7384025       25.7835735 
 00:53:26.13  +39:51:14.89       28.7647676       29.1142943 
 00:53:32.94  +39:51:37.32       28.6242546       29.7129034 
 00:53:20.28  +39:50:55.49       27.1266829       28.5305455 
 00:53:18.77  +39:50:50.44       28.5435155       29.8495531 
 00:53:21.60  +39:50:59.69       28.0801068       29.2122333 
 00:53:20.41  +39:50:55.68       28.8696242       29.8495785 
 00:53:27.48  +39:51:19.05       27.8540133       28.8665760 
 00:53:21.53  +39:50:59.35       28.2569394       29.2912410 
 00:53:18.30  +39:50:48.59       28.6984025       29.7435735 
 00:53:23.72  +39:51:06.51       28.8330329       29.9868983 
 00:53:31.90  +39:51:33.53       28.7201068       29.8522333 
 00:53:18.23  +39:50:48.24       30.2650847       28.4624621 
 00:53:20.03  +39:50:54.20       28.5762003       29.8278907 
 00:53:20.49  +39:50:55.74       29.2174220       30.4038958 
 00:53:21.54  +39:50:59.22       29.1527916       30.2305709 
 00:53:24.77  +39:51:09.85       26.1381460       27.5528780 
 00:53:23.69  +39:51:06.19       26.8201220       27.5066014 
 00:53:23.11  +39:51:04.19       29.0715699       30.2145658 
 00:53:29.17  +39:51:24.10       26.4037720       27.3402486 
 00:53:33.44  +39:51:38.20       28.0927916       29.1705709 
 00:53:30.36  +39:51:27.92       28.9069394       29.9412410 
 00:53:33.57  +39:51:38.50       28.1827916       29.2605709 
 00:53:33.14  +39:51:37.08       29.1354764       30.1589085 
 00:53:22.25  +39:51:00.87       28.1023090       29.0279161 
 00:53:30.92  +39:51:29.53       29.4013437       30.0226065 
 00:53:28.14  +39:51:20.12       28.9759590       30.1515633 
 00:53:32.49  +39:51:34.44       25.7791416       26.6069237 
 00:53:18.07  +39:50:46.77       28.3793677       29.7288831 
 00:53:25.22  +39:51:10.36       29.4181611       30.3872461 
 00:53:28.26  +39:51:20.42       29.2296242       30.2095785 
 00:53:26.38  +39:51:14.12       27.7359742       28.4659314 
 00:53:28.93  +39:51:22.53       28.5340133       29.5465760 
 00:53:19.79  +39:50:52.30       28.8388851       30.0362283 
 00:53:29.72  +39:51:25.12       27.4749937       28.3462537 
 00:53:22.19  +39:51:00.18       28.2574220       29.4438958 
 00:53:30.22  +39:51:26.68       25.3506046       26.1892562 
 00:53:23.02  +39:51:02.91       28.1908459       29.1055836 
 00:53:26.01  +39:51:12.78       29.0369394       30.0712410 
 00:53:25.46  +39:51:10.91       29.1618263       29.9352613 
 00:53:18.94  +39:50:49.35       30.4344960       31.5992308 
 00:53:20.87  +39:50:55.69       29.2540133       30.2665760 
 00:53:29.96  +39:51:25.72       28.2486438       29.3699009 
 00:53:27.04  +39:51:16.02       28.4696242       29.4495785 
 00:53:31.09  +39:51:29.42       28.9110872       29.9019110 
 00:53:26.64  +39:51:14.68       27.7464416       29.0742181 
 00:53:29.34  +39:51:23.60       29.0371807       30.1475684 
 00:53:30.18  +39:51:26.37       26.3971959       27.0619364 
 00:53:33.07  +39:51:35.85       28.7935155       30.0995531 
 00:53:25.04  +39:51:09.25       29.4296242       30.4095785 
 00:53:31.92  +39:51:31.90       26.8105894       28.0948881 
 00:53:32.41  +39:51:33.53       30.4171959       31.0819364 
 00:53:18.33  +39:50:46.98       29.1315699       30.2745658 
 00:53:29.73  +39:51:24.64       27.4091264       28.6825557 
 00:53:25.53  +39:51:10.71       28.8459590       30.0215633 
 00:53:26.08  +39:51:12.53       28.9698807       29.5802740 
 00:53:23.10  +39:51:02.66       29.1371807       30.2475684 
 00:53:20.75  +39:50:54.83       29.0410872       30.0319110 
 00:53:27.31  +39:51:16.55       30.2013437       30.8226065 
 00:53:19.23  +39:50:49.82       28.3552351       29.3025811 
 00:53:23.22  +39:51:02.95       28.2115699       29.3545658 
 00:53:24.27  +39:51:06.37       29.5649786       30.8818856 
 00:53:33.11  +39:51:35.58       29.3432742       30.5732257 
 00:53:21.84  +39:50:58.32       29.8557328       30.5096040 
 00:53:18.65  +39:50:47.67       28.3105894       29.5948881 
 00:53:28.87  +39:51:21.44       29.7911024       30.3362791 
 00:53:25.47  +39:51:10.16       29.3479047       30.6865506 
 00:53:18.63  +39:50:47.51       28.9232742       30.1532257 
 00:53:19.16  +39:50:49.23       29.0064416       30.3342181 
 00:53:23.32  +39:51:02.96       28.6366981       29.5949136 
 00:53:31.69  +39:51:30.58       28.6991264       29.9725557 
 00:53:26.14  +39:51:12.23       28.1844960       29.3492308 
 00:53:27.66  +39:51:17.25       28.5947373       29.8355582 
 00:53:27.87  +39:51:17.81       28.8266981       29.7849136 
 00:53:33.02  +39:51:34.81       29.5837569       30.9658805 
 00:53:19.29  +39:50:49.38       27.7181611       28.6872461 
 00:53:31.46  +39:51:29.61       28.2566981       29.2149136 
 00:53:20.87  +39:50:54.54       28.8774069       30.5095277 
 00:53:22.74  +39:51:00.67       27.3552351       28.3025811 
 00:53:27.77  +39:51:17.27       28.8066829       30.2105455 
 00:53:26.76  +39:51:13.91       25.4059742       26.1359314 
 00:53:32.43  +39:51:32.61       27.3235307       28.1839212 
 00:53:25.54  +39:51:09.85       28.5952351       29.5425811 
