# File generated by CMD 3.2 (http://stev.oapd.inaf.it/cmd) on Fri Mar  8 04:16:14 CET 2019
# PARSEC isochrones, release v1.1 (Bressan et al. 2012)
# Basic reference: Bressan et al. (2012), MNRAS, 427, 127
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: CFHT/Megacam <i>u*g'r'i'z'</i>
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
# Zini logAge Mini int_IMF  Mass   logL    logTe  logg  label 	 mbolmag  u*mag   g'mag   r'mag   i'mag   z'mag
4.916e-05 9.929 0.8828907609 3.1043243408    0.866  2.649  3.6820  1.406    0 -1.853 -0.119 -1.181 -1.791 -2.069 -2.188
4.916e-05 9.929 0.8829159737 3.1043331623    0.865  2.686  3.6802  1.361    0 -1.946 -0.159 -1.257 -1.882 -2.165 -2.286
4.916e-05 9.929 0.8829389811 3.1043412685    0.863  2.722  3.6785  1.318    0 -2.036 -0.193 -1.329 -1.970 -2.258 -2.382
4.916e-05 9.929 0.8829600215 3.1043488979    0.862  2.757  3.6770  1.276    0 -2.124 -0.227 -1.399 -2.055 -2.348 -2.474
4.916e-05 9.929 0.8829808831 3.1043562889    0.861  2.794  3.6752  1.231    0 -2.216 -0.248 -1.468 -2.144 -2.444 -2.572
4.916e-05 9.929 0.8830028772 3.1043639183    0.860  2.836  3.6732  1.181    0 -2.319 -0.272 -1.546 -2.244 -2.551 -2.682
4.916e-05 9.929 0.8830205202 3.1043701172    0.858  2.871  3.6714  1.138    0 -2.408 -0.284 -1.609 -2.330 -2.643 -2.777
4.916e-05 9.929 0.8830390573 3.1043767929    0.856  2.911  3.6693  1.089    0 -2.507 -0.289 -1.677 -2.424 -2.745 -2.882
4.916e-05 9.929 0.8830546141 3.1043822765    0.855  2.946  3.6677  1.046    0 -2.596 -0.295 -1.738 -2.508 -2.836 -2.976
4.916e-05 9.929 0.8830702305 3.1043877602    0.853  2.984  3.6657  1.000    0 -2.690 -0.285 -1.797 -2.596 -2.934 -3.077
4.916e-05 9.929 0.8830834031 3.1043925285    0.851  3.018  3.6640  0.958    0 -2.774 -0.266 -1.845 -2.673 -3.020 -3.166
4.916e-05 9.929 0.8830969334 3.1043972969    0.849  3.054  3.6621  0.913    0 -2.865 -0.240 -1.893 -2.756 -3.114 -3.264
4.916e-05 9.929 0.8831083775 3.1044013500    0.846  3.086  3.6604  0.873    0 -2.945 -0.205 -1.932 -2.829 -3.197 -3.351
4.916e-05 9.929 0.8831199408 3.1044054031    0.844  3.120  3.6585  0.830    0 -3.031 -0.160 -1.969 -2.904 -3.285 -3.443
4.916e-05 9.929 0.8831319213 3.1044096947    0.841  3.158  3.6565  0.783    0 -3.125 -0.147 -2.019 -2.986 -3.378 -3.541
4.916e-05 9.929 0.8831423521 3.1044132710    0.838  3.192  3.6546  0.740    0 -3.209 -0.147 -2.066 -3.059 -3.462 -3.628
4.916e-05 9.929 0.8831528425 3.1044170856    0.835  3.225  3.6528  0.698    0 -3.293 -0.145 -2.113 -3.132 -3.545 -3.715
4.916e-05 9.929 0.8831563592 3.1044182777    0.834  1.744  3.8500  2.966    4 0.409 1.004 0.436 0.408 0.458 0.501
4.916e-05 9.929 0.8831582069 3.1044189930    0.834  1.748  3.8455  2.944    4 0.399 1.006 0.437 0.396 0.437 0.477
4.916e-05 9.929 0.8832296729 3.1044442654    0.834  1.764  3.8320  2.875    4 0.360 1.007 0.433 0.351 0.366 0.395
4.916e-05 9.929 0.8832970262 3.1044678688    0.834  1.766  3.8318  2.872    4 0.356 1.004 0.429 0.347 0.361 0.390
4.916e-05 9.929 0.8833659887 3.1044924259    0.834  1.767  3.8323  2.874    4 0.354 1.000 0.425 0.345 0.360 0.390
4.916e-05 9.929 0.8834370971 3.1045174599    0.834  1.767  3.8331  2.876    4 0.352 0.996 0.421 0.343 0.360 0.390
4.916e-05 9.929 0.8835067749 3.1045420170    0.834  1.768  3.8340  2.879    4 0.350 0.991 0.418 0.342 0.361 0.392
4.916e-05 9.929 0.8835781217 3.1045672894    0.834  1.768  3.8351  2.883    4 0.349 0.987 0.413 0.341 0.363 0.394
4.916e-05 9.929 0.8836486936 3.1045923233    0.834  1.769  3.8363  2.888    4 0.349 0.982 0.409 0.341 0.365 0.397
4.916e-05 9.929 0.8837189674 3.1046171188    0.834  1.769  3.8375  2.892    4 0.348 0.978 0.406 0.341 0.367 0.400
4.916e-05 9.929 0.8837932944 3.1046433449    0.834  1.769  3.8386  2.896    4 0.347 0.974 0.402 0.341 0.369 0.403
4.916e-05 9.929 0.8838664889 3.1046690941    0.834  1.769  3.8396  2.900    4 0.346 0.970 0.398 0.340 0.370 0.405
4.916e-05 9.929 0.8839398623 3.1046950817    0.834  1.770  3.8402  2.902    4 0.345 0.967 0.395 0.339 0.370 0.405
4.916e-05 9.929 0.8840120435 3.1047205925    0.834  1.771  3.8404  2.902    4 0.343 0.964 0.393 0.337 0.369 0.404
4.916e-05 9.929 0.8840851188 3.1047463417    0.834  1.771  3.8402  2.900    4 0.341 0.963 0.391 0.335 0.367 0.402
4.916e-05 9.929 0.8841481805 3.1047685146    0.834  1.772  3.8398  2.898    4 0.339 0.962 0.390 0.333 0.364 0.398
4.916e-05 9.929 0.8841575384 3.1047718525    0.834  1.772  3.8397  2.897    4 0.339 0.962 0.390 0.332 0.363 0.397
4.916e-05 9.929 0.8842280507 3.1047968864    0.834  1.774  3.8385  2.891    4 0.336 0.963 0.390 0.329 0.357 0.391
4.916e-05 9.929 0.8843017817 3.1048228741    0.834  1.775  3.8367  2.883    4 0.332 0.964 0.391 0.324 0.349 0.381
4.916e-05 9.929 0.8843713403 3.1048474312    0.834  1.777  3.8345  2.872    4 0.328 0.966 0.393 0.319 0.340 0.371
4.916e-05 9.929 0.8844399452 3.1048715115    0.834  1.779  3.8318  2.860    4 0.323 0.970 0.395 0.313 0.328 0.357
4.916e-05 9.929 0.8845095038 3.1048960686    0.834  1.781  3.8284  2.843    4 0.317 0.975 0.399 0.307 0.315 0.341
4.916e-05 9.929 0.8845813870 3.1049213409    0.834  1.784  3.8241  2.824    4 0.310 0.983 0.404 0.299 0.299 0.321
4.916e-05 9.929 0.8846535683 3.1049468517    0.834  1.787  3.8193  2.801    4 0.303 0.991 0.410 0.290 0.281 0.300
4.916e-05 9.929 0.8846666813 3.1049513817    0.834  1.788  3.8184  2.797    4 0.301 0.993 0.411 0.289 0.278 0.296
4.916e-05 9.929 0.8847222924 3.1049711704    0.834  1.790  3.8142  2.777    4 0.294 1.001 0.416 0.281 0.262 0.276
4.916e-05 9.929 0.8847976923 3.1049976349    0.834  1.794  3.8081  2.749    4 0.285 1.014 0.426 0.271 0.240 0.249
4.916e-05 9.929 0.8848715425 3.1050236225    0.834  1.798  3.8018  2.720    4 0.274 1.030 0.436 0.260 0.217 0.221
4.916e-05 9.929 0.8849475980 3.1050503254    0.834  1.803  3.7951  2.688    4 0.262 1.046 0.447 0.249 0.192 0.191
4.916e-05 9.929 0.8850216269 3.1050765514    0.834  1.808  3.7888  2.658    4 0.249 1.061 0.455 0.237 0.168 0.161
4.916e-05 9.929 0.8850934505 3.1051018238    0.834  1.814  3.7828  2.628    4 0.235 1.075 0.462 0.224 0.144 0.131
4.916e-05 9.929 0.8851640224 3.1051266193    0.834  1.819  3.7779  2.603    4 0.221 1.084 0.465 0.211 0.122 0.105
4.916e-05 9.929 0.8852360845 3.1051518917    0.834  1.825  3.7736  2.580    4 0.206 1.091 0.465 0.198 0.101 0.079
4.916e-05 9.929 0.8853070736 3.1051769257    0.834  1.831  3.7708  2.564    4 0.194 1.092 0.461 0.186 0.083 0.060
4.916e-05 9.929 0.8853729963 3.1052002907    0.834  1.832  3.7713  2.564    4 0.191 1.087 0.457 0.183 0.081 0.058
4.916e-05 9.929 0.8854442835 3.1052253246    0.834  1.840  3.7661  2.535    4 0.170 1.094 0.455 0.165 0.053 0.025
4.916e-05 9.929 0.8855153918 3.1052503586    0.833  1.856  3.7595  2.493    4 0.130 1.089 0.438 0.127 0.003 -0.031
4.916e-05 9.929 0.8855867386 3.1052753925    0.833  1.883  3.7514  2.434    4 0.064 1.070 0.401 0.064 -0.075 -0.118
4.916e-05 9.929 0.8856266737 3.1052894592    0.833  1.911  3.7443  2.377    4 -0.007 1.043 0.357 -0.004 -0.155 -0.206
4.916e-05 9.929 0.8856472373 3.1052966118    0.833  1.945  3.7372  2.315    4 -0.091 1.007 0.299 -0.084 -0.249 -0.306
4.916e-05 9.929 0.8856561184 3.1052997112    0.833  1.981  3.7309  2.253    4 -0.183 0.962 0.232 -0.172 -0.349 -0.413
